,citingPaperID,source,string,label,sentiment_chris,sentiment_daniel
7792,0244de3610992df3e77b65de794861810a673a48>89634acca7f883bb26a15b1db301488353d8654d_5,explicit,The self-report component measures interpretation bias through endorsement rates for negative and positive interpretations (Amir et al. 2012  Beard and Amir 2009).,background,neutral,neutral
3733,f98fa4590950e29e660b3d3179a7bb570ee4e132>cf4b786764155761e514625265e7a496c7166469_10,explicit,"The age of giant nupDNA fragment A was calculated by dividing the corrected K value of type 2 substitutions (see Results) by the absolute substitution rate of the synonymous sites in the nuclear genes of rice (Ramakrishna et al., 2002).",method,neutral,neutral
1237,bc103d96366ec97e0dd620894bbb04c8849eb772>919a7043506352a11d3bb6fa435081d03381c429_1,explicit,"Two representative software of this type are ssahaSNP (Ning et al., 2001) and PolyBayes (Marth et al., 1999).",method,neutral,neutral
7052,e3450e8ca6d743f04a1ad41297ab59eeb82299b4>b5fcda6fd9a47d7ef14b8e3e8c80c00fde1b990a_1,explicit,"How are Bcl-2 and Mcl-1 levels regulated in a dynamic fashion? Antigen receptor signaling during clonal expansion likely drives down Bcl-2 levels and hyper-induce Mcl-1 in responding CD8 T cells (Dunkle et al., 2011; Opferman et al., 2003).",background,neutral,neutral
6524,8ebd0c64a3f1833cac7b8191303ea2bbd05682b5>86fdeaa16c965db52f41ad8489ee38b93590eba6_1,explicit,"Two traits are orthogonal when, based on individual rankings on one of the traits, it is impossible to predict anything certain about rankings on the other trait (Allik et al., 2015).",background,neutral,neutral
2543,2c0cab0d657f6c225c74736fed02750c381032de>02cdbca047e857f7e253b318fc593494925c1170_0,explicit,These results are similar to other reports [34] in which the proportion of J-Lat cells displaying GFP epifluorescence was synergistically increased by prostratin/ HDACI cotreatments compared to treatments with the compounds alone.,result,positive,positive
8093,7dda92d7dbb1a5f7fc78bba6f81890b3832cb2d6>e6f6fdef07ca7e5a96e0c7d8619bb9171e9eb60a_0,explicit,"A type I T-cell gene signature that promotes both the generation and tumor infiltration of cytotoxic T cells has been shown to be associated with an improved clinical outcome in a variety of tumor types (2, 3).",background,positive,positive
5365,9237db18530d0de2e0281e735c10570d7c235b36>14682fc8cc919fe557ea8881d3fcc94c2fba686d_0,explicit,"Resistance to TB involves macrophages [2,4], dendritic cells (DC) [17,18], and T cells [18], and multiple studies in humans and mice have shown that maintenance of TB latency requires a Th1 T cell immune response and IFN-c, which is a signature cytokine of this response.",background,positive,positive
4663,1ac9706400e1c06a100add4b83a67af503404d8d>1fc59dcb14b70e8c0865c8c687932b90a6535527_0,explicit,"While the prevalence of hyperechogenicity is only *9 % in healthy adults (Berg et al. 1999a), the statistical power was appropriate for detecting significant differences between groups (e.g. grip force group-by-trial interaction = 0.87).",background,positive,neutral
3065,4f4c6a035c0c28cfe5855a720a8f7a16a401e9f8>0451f005e25d672931091e7f4f16bc16b3ce04f9_0,explicit,"There have been few animal studies on this subject, which provides insufficient evidence as to the rationale for using ORM in nasal patency assessments [13].",background,negative,negative
372,0fd548a07b8d113f5f6a6255abe191668120ac53>74809ba2f3834024b56f5b0784655b1435708c60_1,explicit,"Although Arpp/Ankrd2 has been reported to be localized mainly in the I-band of striated muscle (Tsukamoto et al. 2002; Miller et al. 2003), a recent study has revealed that Arpp/Ankrd2 can interact with nuclear proteins, including premyelocytic leukemia protein (PML), p53 and YB-1, in vitro (Kojic…",background,positive,positive
6346,4289898ef10c52412dd2ee16e35ae8ae4954552f>2b2ac21e381c1cd942860094837e61b52dd20268_0,explicit,"…memory\nINTRODUCTION\nEmerging studies have shown that auditory beat stimulation can affect mood states in terms of levels of anxiety (Le Scouarnec et al., 2001; Padmanabhan et al., 2005; Weiland et al., 2011) and well-being (Lane et al., 1998; Le Scouarnec et al., 2001; Wahbeh et al., 2007a).",background,positive,positive
2343,70b1e174c0d26a6262355e3891c2655559f79122>45e3f5396f892f5672b29c98df9b175d1eb7eda8_2,explicit,"The prognosis of FVPTC in our study was excellent, similar to the\nresults of previous studies (Chan 2002; Yu et al. 2013), and FVPTC is known to have less frequent locoregional recurrence than conventional PTC (Burningham et al. 2005; Lang et al. 2006; Nechifor-Boila et al. 2013), although there…",result,positive,positive
600,9a068a63f5ae85227863a972c7204903fdcca978>73619c0c3ee055ee31944e3a71119e9f68d42794_0,explicit,"In addition to expression in the fetus, Igf2 is expressed by the placenta (Constância et al. 2002) and mice lacking the placenta-specific Igf2 transcript show IUGRaswell as placentas that are small and have altered nutrient transport (Constância et al.",background,neutral,neutral
3791,af794c74a2bfd33336bca2a410ed42a978d98a89>691576326d898a7e56628c7775eb1acd93316a58_2,explicit,"Other studies suggest that altering affinity to FcRn might alter the bioavailability of mAbs (Deng et al., 2010; Deng et al., 2012), and SC bioavailability appears lower in FcRn-deficient mice as compared to wild type animals (Wang et al.",background,positive,neutral
6315,ae1a3173131628123ac7c7579045aa96006c9485>6220e4f4cdf26ad70a07baa1a9a4b12b488eb35a_0,explicit,"Although our cohort also consisted of treatment naïve patients with symptom duration of less than six months, we found that IL-21 levels were not elevated in RA patients compared to healthy controls, a finding which is in contrast to the results of other authors (Rasmussen et al. 2010).",result,negative,negative
7737,d388588cbc8aef4f1eba7b56f1571191370f6e75>7348e48de2ad238df345015c6b9c42830bee728b_0,explicit,"These study areas have all been managed in the same way for multiple generations (from the onset of farming in the area) and are dominated by indigenous vegetation (Little et al. 2013), they have also only been utilized as livestock farms (the region is not suitable for 1446 Biodivers Conserv (2015) 24:1443–1471",background,neutral,neutral
7162,e9a4a6cec8b4a268ecd991a9f92700ce1a8960a5>3ef88a5a85e2134fe9d2f1297b0d2b813852ba60_2,explicit,"Assessing Risk of Bias\nCritical appraisal of the studies, based on the Cochrane Risk of Bias Tool (Higgins and Green 2009), involved assessing whether there was an adequate method of sequence generation, allocation concealment, blinding of assessors, satisfactory treatment of attrition, including…",method,neutral,neutral
3758,ea5e02b640e8b354ca4c997f2358a1da8837fc19>2f0f0aacbdba5a5f539e2182cb828f46d27750c0_5,explicit,"A retrospective cohort study abstracted medical records of 45,308 Medicare beneficiaries with AMI.(87) Of these, 7.",background,neutral,neutral
8208,b4bafb8c1ff27c29f0ecef6caa775a0f2d86db00>79b28dd860cd31eb5b098ec72bf065c70ca559d9_0,explicit,"Cancer cells usually have a different genome structure from normal [2], therefore, genomes of human cell lines cannot be fully explained by the human reference genome [3].",background,neutral,neutral
2397,387a4968c48a7f86693bcc455beffa97943cd445>3fdc808da3be33a0eb24417029962894716481e2_0,explicit,"%) was a close relative (at 97% identity) of the facultative denitrifying bacterium Aromatoleum aromaticum (which belongs to the Azoarcus cluster) (Kuhner et al., 2005), and the close relative Azoarcus buckelii (Mechichi et al., 2002).",background,neutral,neutral
2542,4ba2e2317d3211666340f58f90efc051a3503bef>2a8c2b24096054c62a0d4308e4771f12badc0a3a_1,explicit,"Moreover, phytochelatins have been found to be more effective at preventing oxidative stress than GSH (Tsuji et al., 2002).",background,positive,neutral
4697,743a1befaf5e2cd2e5a9162432909b221a1e695c>8bd0c05a7acb2d7764d188dc0efa65402421956e_1,explicit,"One of the key concerns by induction of reprogramming towards pluripotency in vivo may be the spontaneous occurrence of teratomas within the tissues where reprogrammed cells are generated [12,19].",background,neutral,neutral
3954,37e4db73f2c3fa01c121afef0a938656bc03cebd>447b2d5e83b2926065938f37c9134f675ab73855_0,explicit,"In [1] and [2], a multilayer directory structure is presented to reduce the size of the directory for largescale configurations of a multiprocessor while also maintain or even improve the performance.",background,neutral,positive
5098,eafafc708296c462edc9294e1b8f3b1dd3f4dffc>8f12510fff2f067cbd55ef4c4c5ab01a7314beb5_5,explicit,"…difference between aspirated and lenis is merging for younger speakers, resulting in a two-way VOT contrast: aspirated & lenis (long VOT) vs. tense (short VOT) (Choi 2002, Kang and Guion 2008, Kang 2014, Kim 2000, Kim 2004, Kong et al. 2011, Lee and Jongman 2012, Oh 2011, Silva 2006, Wright 2007).",background,neutral,neutral